from_id,relation,to_id,note
REC-NHS-2026-0001,derived_from,SRC-NHSE-THE-WEEK-2026-09-22,"Extracted from bulletin"
REC-NHS-2026-0001,about,TOPIC-PATIENT-SAFETY,"Patient-safety governance"
REC-NHS-2026-0001,related_to,WATCH-NHS-2026-0001,"Operational follow-up authority"
REC-NHS-2026-0002,derived_from,SRC-NHSE-THE-WEEK-2026-09-22,"Extracted from bulletin"
REC-NHS-2026-0002,about,TOPIC-PATIENT-SAFETY,"Escalation and deterioration"
REC-NHS-2026-0002,related_to,WATCH-NHS-2026-0002,"Operational follow-up authority"
REC-NHS-2026-0003,derived_from,SRC-NHSE-THE-WEEK-2026-09-22,"Extracted from bulletin"
REC-NHS-2026-0003,about,TOPIC-MATERNITY-NEONATAL,"NHS-wide staff engagement"
REC-NHS-2026-0004,derived_from,SRC-NHSE-THE-WEEK-2026-09-22,"Extracted from bulletin"
REC-NHS-2026-0005,derived_from,SRC-NHSE-THE-WEEK-2026-09-22,"Expected release list"
REC-NHS-2026-0005,related_to,WATCH-NHS-2026-0003,"Operational follow-up authority"
REC-NHS-2026-0006,derived_from,SRC-NHSE-MR-OVERVIEW-2026-09-22,"National programme overview"
REC-NHS-2026-0006,derived_from,SRC-NHSE-MR-CORE-STANDARDS-2026-03-02,"Core implementation standards"
REC-NHS-2026-0006,derived_from,SRC-NHSE-MR-STATS-2026-07,"July programme statistics"
REC-NHS-2026-0006,about,TOPIC-PATIENT-SAFETY,"Martha's Rule implementation"
REC-NHS-2026-0006,related_to,WATCH-NHS-2026-0002,"Operational follow-up authority"
REC-NHS-2026-0007,derived_from,SRC-YSTHFT-MR-2026-09-22,"Local patient information"
REC-NHS-2026-0007,about,TOPIC-PATIENT-SAFETY,"Local Martha's Rule availability"
REC-NHS-2026-0007,related_to,WATCH-NHS-2026-0002,"Operational follow-up authority"
REC-NHS-2026-0008,derived_from,SRC-ONS-RELEASE-CALENDAR-2026-09-22,"Confirmed release dates"
REC-NHS-2026-0008,related_to,WATCH-NHS-2026-0003,"Operational follow-up authority"
REC-NHS-2026-0009,derived_from,SRC-HSSIB-MH-ED-2026-09-17,"HSSIB investigation report"
REC-NHS-2026-0009,about,TOPIC-MENTAL-HEALTH-CRISIS,"National emergency-care findings"
REC-NHS-2026-0009,related_to,WATCH-NHS-2026-0004,"Operational follow-up authority"
REC-NHS-2026-0010,derived_from,SRC-YSTHFT-ED-2026-09-22,"Local ED public information"
REC-NHS-2026-0010,derived_from,SRC-YSTHFT-PSYCH-2026-09-22,"Local Psychological Medicine information"
REC-NHS-2026-0010,about,TOPIC-MENTAL-HEALTH-CRISIS,"Local public pathway information"
REC-NHS-2026-0010,related_to,WATCH-NHS-2026-0004,"Operational follow-up authority"
LEAD-NHS-2026-0001,related_to,WATCH-NHS-2026-0001,"Lead follow-up"
LEAD-NHS-2026-0002,related_to,WATCH-NHS-2026-0002,"Lead follow-up"
LEAD-NHS-2026-0003,related_to,WATCH-NHS-2026-0003,"Lead follow-up"
LEAD-NHS-2026-0004,related_to,WATCH-NHS-2026-0004,"Lead follow-up"
